activation_function,hidden_layer_size,learning_rate,epochs,batch_size,train_data_accuracy,test_data_accuracy
Sigmoid,2,0.005,100,30,86.37,88.0
Sigmoid,2,0.005,500,30,87.556,87.556
Sigmoid,2,0.005,1000,30,86.963,88.889
Sigmoid,2,0.005,5000,30,87.111,90.222
Sigmoid,2,0.01,100,30,85.778,88.0
Sigmoid,2,0.01,500,30,87.259,88.0
Sigmoid,2,0.01,1000,30,87.407,88.889
Sigmoid,2,0.01,5000,30,87.704,88.444
Sigmoid,3,0.005,100,30,49.778,50.667
Sigmoid,3,0.005,500,30,49.778,50.667
Sigmoid,3,0.005,1000,30,86.222,86.222
Sigmoid,3,0.005,5000,30,87.259,88.889
Sigmoid,3,0.01,100,30,49.778,50.667
Sigmoid,3,0.01,500,30,87.111,88.0
Sigmoid,3,0.01,1000,30,86.815,89.333
Sigmoid,3,0.01,5000,30,88.148,88.444
Sigmoid,4,0.005,100,30,84.296,84.889
Sigmoid,4,0.005,500,30,86.222,86.667
Sigmoid,4,0.005,1000,30,86.963,87.111
Sigmoid,4,0.005,5000,30,87.556,87.556
Sigmoid,4,0.01,100,30,85.778,86.222
Sigmoid,4,0.01,500,30,87.407,88.0
Sigmoid,4,0.01,1000,30,86.667,90.222
Sigmoid,4,0.01,5000,30,88.741,88.444
Sigmoid,5,0.005,100,30,85.333,88.0
Sigmoid,5,0.005,500,30,87.111,88.0
Sigmoid,5,0.005,1000,30,87.704,88.0
Sigmoid,5,0.005,5000,30,87.407,88.444
Sigmoid,5,0.01,100,30,86.667,87.556
Sigmoid,5,0.01,500,30,87.407,87.556
Sigmoid,5,0.01,1000,30,86.815,87.111
Sigmoid,5,0.01,5000,30,88.444,87.556
Tanh,2,0.005,100,30,86.222,87.111
Tanh,2,0.005,500,30,87.259,88.0
Tanh,2,0.005,1000,30,86.963,88.889
Tanh,2,0.005,5000,30,87.852,88.0
Tanh,2,0.01,100,30,85.63,87.556
Tanh,2,0.01,500,30,87.259,87.556
Tanh,2,0.01,1000,30,87.111,88.889
Tanh,2,0.01,5000,30,87.407,88.889
Tanh,3,0.005,100,30,87.556,87.556
Tanh,3,0.005,500,30,87.704,88.0
Tanh,3,0.005,1000,30,86.667,88.889
Tanh,3,0.005,5000,30,87.407,88.444
Tanh,3,0.01,100,30,85.481,84.0
Tanh,3,0.01,500,30,86.37,88.0
Tanh,3,0.01,1000,30,87.111,87.111
Tanh,3,0.01,5000,30,87.704,89.778
Tanh,4,0.005,100,30,86.222,86.667
Tanh,4,0.005,500,30,86.667,88.889
Tanh,4,0.005,1000,30,87.704,87.111
Tanh,4,0.005,5000,30,83.556,84.444
Tanh,4,0.01,100,30,87.407,87.556
Tanh,4,0.01,500,30,85.778,87.556
Tanh,4,0.01,1000,30,87.556,89.333
Tanh,4,0.01,5000,30,87.259,88.889
Tanh,5,0.005,100,30,87.556,87.111
Tanh,5,0.005,500,30,87.704,87.111
Tanh,5,0.005,1000,30,87.556,86.667
Tanh,5,0.005,5000,30,87.852,88.889
Tanh,5,0.01,100,30,87.259,88.0
Tanh,5,0.01,500,30,86.963,87.111
Tanh,5,0.01,1000,30,82.963,82.222
Tanh,5,0.01,5000,30,87.556,89.778
Relu,2,0.005,100,30,86.519,89.778
Relu,2,0.005,500,30,73.63,72.0
Relu,2,0.005,1000,30,49.926,50.667
Relu,2,0.005,5000,30,49.778,50.667
Relu,2,0.01,100,30,69.778,67.111
Relu,2,0.01,500,30,49.778,50.667
Relu,2,0.01,1000,30,49.778,50.667
Relu,2,0.01,5000,30,49.778,50.667
Relu,3,0.005,100,30,86.963,86.667
Relu,3,0.005,500,30,49.778,50.667
Relu,3,0.005,1000,30,49.778,50.667
Relu,3,0.005,5000,30,49.778,50.667
Relu,3,0.01,100,30,69.63,67.111
Relu,3,0.01,500,30,49.778,50.667
Relu,3,0.01,1000,30,49.778,50.667
Relu,3,0.01,5000,30,49.778,50.667
Relu,4,0.005,100,30,83.556,84.0
Relu,4,0.005,500,30,49.778,50.667
Relu,4,0.005,1000,30,49.778,50.667
Relu,4,0.005,5000,30,49.778,50.667
Relu,4,0.01,100,30,50.222,49.333
Relu,4,0.01,500,30,49.778,50.667
Relu,4,0.01,1000,30,49.778,50.667
Relu,4,0.01,5000,30,49.778,50.667
Relu,5,0.005,100,30,82.37,80.0
Relu,5,0.005,500,30,49.778,50.667
Relu,5,0.005,1000,30,49.778,50.667
Relu,5,0.005,5000,30,49.778,50.667
Relu,5,0.01,100,30,50.222,50.222
Relu,5,0.01,500,30,49.778,50.667
Relu,5,0.01,1000,30,49.778,50.667
Relu,5,0.01,5000,30,49.778,50.667
